186,"Partidul Național Țărănesc Creștin Democrat"
187,"Isamaa"
188,"Polska 2050"
189,"Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga"
190,"Slovenska demokratska stranka"
191,"Eesti Keskerakond"
192,"Svenska folkpartiet"
193,"Občanská demokratická strana"
194,"Hnutie Republika"
195,"Magyar Szocialista Párt"
196,"ANTICAPITALISTAS"
197,"Catalunya en Comú"
198,"""Saskaņa"" sociāldemokrātiskā partija"
199,"Darbo partija"
200,"Die Grünen - Die Grüne Alternative"
201,"Vooruit"
202,"Open Vlaamse Liberalen en Democraten"
203,"Enhedslisten"
204,"Uniunea Democrată Maghiară din România"
205,"Dansk Folkeparti"
206,"Det Konservative Folkeparti"
207,"Latvijas Krievu savienība"
208,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK"""
